SUBJECT,COURSENO,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,PARTOFTERM,COREQUISITE,PREREQUISITE,DESCRIPTION,SCHEDULEFORPRINT
AI,111,A,Python'a Giriş,Mühendislik Fakültesi,6,MEHMET KAAN ÖZTÜRK,UG Tam,,,,"Salı | 08:40 - 11:30
Cuma | 14:40 - 16:30
"
AI,112,A,Yapay Zeka ve Toplum,Mühendislik Fakültesi,4,REYHAN AYDOĞAN,UG Tam,,,,"Salı | 15:40 - 18:30
"
AI,425,A,Büyük dil Modelleri,Mühendislik Fakültesi,6,CENK DEMİROĞLU,UG Tam,,AI 304 or CS 466 or CS 454 or EE 302,,"Salı | 09:40 - 11:30
Perşembe | 08:40 - 09:30
"
CE,112,A,Statik,Mühendislik Fakültesi,6,TANER YILMAZ,UG Tam,,PHYS 101 and MATH 103,"Bu ders, şu konuları kapsamaktadır: kuvvet vektörleri, eşdeğer kuvvet sistemleri, parçacık ve katı cisimlerin dengesi, makas ve kirişlerin yapısal analizi, çerçeve ve makinalar, iç kuvvetler, kesme ve eğilme moment diagramları, sürtünme, alanların ağırlık merkezi ve atalet momenti.","Pazartesi | 12:40 - 14:30
Perşembe | 12:40 - 14:30
"
CE,208,A,Yapı İşletmesi,Mühendislik Fakültesi,6,SENEM SEYİS KAZAZOĞLU,UG Tam,,CE 101,"Bu ders inşaat projeleri süreç̧ ve uygulamalarını tanıtmaktadır. Planlama, zamanlama, ve kontrol tekniklerine, kritik yol yöntemi (CPM), kaynak yönetimi, ve proje performans izlemesine özellikle vurgu yapılır. Konular inşaat ekonomisi, inşaat taahhüt ve ihaleleri, idari, mali ve sosyal roller ve sorumluluklar, şantiye ve tesislerin planlaması, kalite, risk ve güvenlik yönetimi, şantiye organizasyonunu içermektedir. Öğrenciler proje yönetimi kapsamında güncel yaklaşımları kullanır.","Pazartesi | 10:40 - 12:30
Cuma | 10:40 - 12:30
"
CE,210,A,Akışkanlar Mekaniği,Mühendislik Fakültesi,6,YİĞİT CAN ALTAN,UG Tam,,CE 112 and MATH 104,"Bu ders boyut ve birimler, akışkanların fiziksel özellikleri, bir noktadaki basınç,  basınç ölçümü, yüzeylere etkiyen hidrostatik kuvvet, kaldırma kuvveti, kinematik, Lagrange ve Euler yöntemleri, hız ve ivme, akım çizgisi, Enerji ve Bernoulli denklemi, süreklilik kanunu, sistem ve kontrol hacimi kavramları, Reynolds taşınım ilkesini içermektedir","Pazartesi | 12:40 - 14:30
Çarşamba | 12:40 - 14:30
"
CE,211,A,Dinamik,Mühendislik Fakültesi,4,DERYA DENİZ,UG Tam,,CE 112,"Bu ders, şu konuları kapsamaktadır: dinamiğe giriş, parçacıkların hareketi, parçacıkların kinetiği (kuvvet ve ivme metodu, iş ve enerji metodu, itme-momentum metodu), katı cisimlerin kinematiği ve  katı cisimlerin kinetiği (kuvvet ve ivme metodu, iş ve enerji metodu,  itme ve momentum metodu)","Perşembe | 15:40 - 18:30
"
CE,300,A,Yaz Stajı  I,Mühendislik Fakültesi,2,YİĞİT CAN ALTAN,UG Tam,,SEC 201,,
CE,301,A,Yapı Statiği,Mühendislik Fakültesi,6,BÜLENT ERKMEN,UG Tam,,CE 203,"Bu dersin konuları yapı analiz tekniklerini, 2D ve 3D denge prensiplerini, kesme ve moment diagramlarını, kiriş ve kafes sistemlerinin etki çizgilerini, integral yoluyla kirişlerin elastik eğrisi; Hiperstatik kirişler, süperpozisyon metodu, moment-alan metodu, enerji metotları, Castigliano teoremleridir.","Pazartesi | 08:40 - 10:30
Çarşamba | 08:40 - 10:30
"
CE,302,A,Zemin Mekaniği,Mühendislik Fakültesi,6,SAFİYE FEYZA ÇİNİCİOĞLU,UG Tam,CE 302L,CE 203,,"Pazartesi | 16:40 - 18:30
Salı | 14:40 - 16:30
"
CE,302L,A,Zemin Mekaniği - Lab.,Mühendislik Fakültesi,0,AYŞEN ÇELEBİ,UG Tam,CE 302,,,"Çarşamba | 16:40 - 18:30
"
CE,302L,B,Zemin Mekaniği - Lab.,Mühendislik Fakültesi,0,AYŞEN ÇELEBİ,UG Tam,CE 302,,,"Cuma | 10:40 - 12:30
"
CE,302L,C,Zemin Mekaniği - Lab.,Mühendislik Fakültesi,0,AYŞEN ÇELEBİ,UG Tam,CE 302,,,"Perşembe | 11:40 - 13:30
"
CE,302L,D,Zemin Mekaniği - Lab.,Mühendislik Fakültesi,0,AYŞEN ÇELEBİ,UG Tam,CE 302,,,"Perşembe | 13:40 - 15:30
"
CE,302L,E,Zemin Mekaniği - Lab.,Mühendislik Fakültesi,0,AYŞEN ÇELEBİ,UG Tam,CE 302,,,"Çarşamba | 10:40 - 12:30
"
CE,304,A,Betonarme,Mühendislik Fakültesi,6,BÜLENT ERKMEN,UG Tam,,CE 203,"Ders yapısal betonun mekanik özelliklerine, betonarme kesitlerin ve elemanların normal, kesme, moment ve burulma yükleri altındaki davranışı üzerine odaklanmaktadır. Betonarme kirişler ve kolonlar için nihai tasarım gücü kavramını ve ulusal ve uluslararası tasarım kodlarını tanıtmayı içermektedir","Salı | 11:40 - 13:30
Çarşamba | 10:40 - 12:30
"
CE,307,A,Çelik Yapılar 1,Mühendislik Fakültesi,6,GÜLAY ALTAY,UG Tam,,CE 203,"Bu ders çelik yapı elemanlarının ve oluşturulan yapı sistemlerinin temel tasarım ilkelerini çelik tasarım standartları, Yük ve Dayanım Katsayılarıyla Tasarım (LFRD) felsefesine göre tasarım, yapısal çeliğin özellikleri, tasarım kavramları ve tasarım prosedürleri ve çekme, basma, eğilme, kiriş-kolon ve çelik bağlantıların tasarımı kapsar.","Pazartesi | 14:40 - 16:30
Cuma | 14:40 - 16:30
"
CE,310,A,Ulaştırma Mühendisliği,Mühendislik Fakültesi,4,BEKİR OĞUZ BARTIN,UG Tam,,MATH 217 or CE 217,,"Pazartesi | 12:40 - 15:30
"
CE,311,A,Hidrolik,Mühendislik Fakültesi,4,YİĞİT CAN ALTAN,UG Tam,,CE 210,"Bu ders, su, depolama, su iletiminin kullanımı ve kontrolü ile ilgili sistemlerin tasarımı ve analizi için hidroloji, hidrolik ve su kaynakları planlamasının prensipleri; açık kanalların ve basınç borularının tasarımı üzerine nicel bir altyapı sunar","Salı | 08:40 - 11:30
"
CE,400,A,Staj II,Mühendislik Fakültesi,4,YİĞİT CAN ALTAN,UG Tam,,SEC 201,,
CE,412,A,Plastik Analiz ve Tasarım,Mühendislik Fakültesi,6,GÜLAY ALTAY,UG Tam,,CE 301 and CE 307,"Derste, kesitlerin eğilme davranışı ve plastik göçmenin basit örnekleri  tanıtılmaktadır.  Ders, temel hipotezler, temel teoremler ve plastik göçme kavramı, çeşitli kesitlerin elasto-plastik eğilme davranışı, plastik tasarım yöntemleri ve plastik mafsal oluşumunu etkileyen faktörleri sunmaktadır. Ders ayrıca,plastik göçme kavramının depreme dayanıklı yapı tasarımında kullanılışını kapsar. ","Salı | 13:40 - 16:30
"
CE,420,A,Geoteknik Deprem Mühendisliği,Mühendislik Fakültesi,6,MUSTAFA ATİLLA ANSAL,UG Tam,,CE 302 and CE 306,"Bu ders deprem mühendisliğinin geoteknik ile ilgili konularına bir giriş olacaktır. Deprem tehlikesi, depremler, kuvvetli yer hareketi, yerel zeminlerin yer hareketine etkisi, zeminlerin deprem yükleri altındaki davranışı, sıvılaşma, dinamik laboratuvar ve arazi deneyleri gibi temel konuları içerecektir. Ders ayrıca sahaya özel deprem davranışı ile ilgili min bir proje içerecektir.","Çarşamba | 15:40 - 18:30
"
CE,423,A,İleri Yapı Analizi,Mühendislik Fakültesi,6,DERYA DENİZ,UG Tam,,MATH 212 ve (CE 301 veya ME 334),"Ders yapı analizi ileri prensiplerini ve yapı mühendislik problemlerine uygulanmasını kapsamlı bir şekilde incelemektedir. Kapsanan konular: 2D ve 3D kafes yapılar için doğrudan rijitlik metodu analizleri, çerçeve yapılar için doğrudan rijitlik metodu analizleri,  sonlu eleman denklemlerine giriş. ","Pazartesi | 15:40 - 18:30
"
CE,424,A,Geoteknik Yapılar,Mühendislik Fakültesi,6,SAFİYE FEYZA ÇİNİCİOĞLU,UG Tam,,CE 302 and CE 306,"Ders çeşitli konuları kapsamaktadır: geoteknik saha inceleme yöntemleri ve zeminlerin mühendislik özelliklerinin tahmin edilmesi; taşıma gücü analizi, oturma analizi, şev stabilitesi analizi, yüzeysel ve derin temellerin tasarımı, toprak istinat yapılarının tasarımı. ","Perşembe | 13:40 - 16:30
"
CE,426,A,Yapı Malzemeleri için Dijital Çözümler,Mühendislik Fakültesi,6,ZEYNEP BAŞARAN BUNDUR,UG Tam,,CE 205 veya ME 256,"Bu ders, 3B baskı prensipleri, ekipmanlardaki gereksinimler ve zorluklar, sürdürülebilir malzeme tasarımının uyarlanması, makine öğrenimi ve yapay zekanın dijital beton üretimine entegrasyonu dahil olmak üzere inşaatta otomasyona giriş konularını kapsamaktadır.","Perşembe | 10:40 - 13:30
"
CE,441,A,İnşaat Mühendisliği Bitirme Projesi,Mühendislik Fakültesi,6,TANER YILMAZ,UG Tam,,"The student should pass at least 6 of the following courses:CE 208, CE 301, CE 304, CE 306, CE 307, CE 310, CE 311","Öğrenciler, bir öğretim elemanının danışmanlığında ve en fazla dört öğrenciden oluşan ekipler içinde karmaşık bir inşaat mühendisliği problemi için bir çözüm tasarımı geliştirirler. ",
